Clima,CedulaCultivos,UsoSuelo,POP,YearPop,Prefix,Branch,Name,Topology,Variable,ObjectType,Year Filter, TimeStep Filter, TagFilter, Stat ,Value,CatchmentImpact,DiversionName
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Salo River Inflow,Below Salo River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.96449237993996,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_MonteRico Runoff,Below R_MonteRico Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.96655724075722,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 43,Below Withdrawal Node 43,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.96288963039955,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Sivilayoj2 Runoff,Below R_Sivilayoj2 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.96700628273992,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 15,Below Withdrawal Node 15,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.91377101143576,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Monterico Return,Below D_Monterico Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.91391134061511,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_TambilloAlto Runoff,Below R_TambilloAlto Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.92533989916784,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 16,Below Withdrawal Node 16,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.90597744528384,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 17,Below Withdrawal Node 17,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.88003030056883,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_TambilloAlto Return,Below D_TambilloAlto Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.88004008148588,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_CanalEncima Runoff,Below R_CanalEncima Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.89505392906354,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 18,Below Withdrawal Node 18,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.88587402327154,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoTB_CanalEncima Outflow,Below RiegoTB_CanalEncima Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.77289219462858,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Molino Runoff,Below R_Molino Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.77914163943556,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoTB Outflow,Below RiegoTB Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.76851999705445,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Auxiliar Runoff,Below R_Auxiliar Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.77303126968799,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Withdrawal Node 19,Below Withdrawal Node 19,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.77061410009799,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_PalalaAlto Runoff,Below R_PalalaAlto Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.77486103763171,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoPalala Outflow,Below RiegoPalala Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.71197603561238,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza13 Runoff,Below Tupiza13 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.72287977775861,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_TambilloBajo Return,Below D_TambilloBajo Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.72301725556176,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below QdaTambilloBajo River Inflow,Below QdaTambilloBajo River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.84210277394076,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza3 Runoff,Below Tupiza3 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,6.86129259744155,D_OroIngenio,
